('XSA', ('QKS', 'NND'), 'L')
('QKS', ('TRC', 'DFM'), 'L')
('TRC', ('VKX', 'RQL'), 'L')
('VKX', ('MRM', 'RQK'), 'L')
('MRM', ('JKQ', 'MPS'), 'L')
('JKQ', ('DPT', 'KBN'), 'L')
('DPT', ('CMQ', 'JBG'), 'L')
('CMQ', ('KKS', 'VBH'), 'R')
('VBH', ('JQD', 'RGL'), 'R')
('RGL', ('DNN', 'NCN'), 'R')
('NCN', ('SLT', 'KJD'), 'L')
('SLT', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'R')
('GCQ', ('QMF', 'JVH'), 'R')
('JVH', ('JDP', 'GGF'), 'L')
('JDP', ('PDB', 'PTX'), 'R')
('PTX', ('TVJ', 'JPQ'), 'L')
('TVJ', ('HDT', 'SVF'), 'R')
('SVF', ('FVD', 'LHQ'), 'L')
('FVD', ('XBQ', 'NKF'), 'R')
('NKF', ('JCQ', 'QNX'), 'L')
('JCQ', ('CRB', 'PBS'), 'R')
('PBS', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'L')
('TNL', ('BGR', 'CJD'), 'L')
('BGR', ('RLM', 'NML'), 'R')
('NML', ('MBV', 'VCG'), 'R')
('VCG', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'L')
('BGJ', ('HXM', 'JSS'), 'R')
('JSS', ('GMJ', 'LJC'), 'L')
('GMJ', ('VSF', 'SFJ'), 'L')
('VSF', ('LPM', 'XGC'), 'R')
('XGC', ('CMM', 'PHF'), 'R')
('PHF', ('NQP', 'SBR'), 'R')
('SBR', ('SKT', 'JCC'), 'L')
('SKT', ('KVH', 'LQM'), 'L')
('KVH', ('VKD', 'PQG'), 'R')
('PQG', ('NCM', 'TCF'), 'R')
('TCF', ('KNG', 'JPJ'), 'L')
('KNG', ('RTJ', 'CXN'), 'R')
('CXN', ('XRF', 'BPK'), 'R')
('BPK', ('KFP', 'SPH'), 'L')
('KFP', ('MVX', 'NMX'), 'R')
('NMX', ('XRR', 'LKL'), 'R')
('LKL', ('CLV', 'PBJ'), 'L')
('CLV', ('CKD', 'CCD'), 'R')
('CCD', ('QDV', 'SPB'), 'L')
('QDV', ('NDM', 'JPT'), 'R')
('JPT', ('GQX', 'XCR'), 'R')
('XCR', ('GJD', 'XKT'), 'L')
('GJD', ('XJJ', 'MPF'), 'R')
('MPF', ('DFT', 'SBG'), 'L')
('DFT', ('XFL', 'JDG'), 'R')
('JDG', ('TJK', 'QMH'), 'R')
('QMH', ('NKG', 'SDJ'), 'R')
('SDJ', ('TBV', 'XCV'), 'L')
('TBV', ('XTJ', 'SVH'), 'R')
('SVH', ('JDT', 'VRL'), 'R')
('VRL', ('NQX', 'XJB'), 'L')
('NQX', ('LML', 'LML'), 'R')
('LML', ('QKS', 'NND'), 'L')
('QKS', ('TRC', 'DFM'), 'R')
('DFM', ('RQL', 'VKX'), 'R')
('VKX', ('MRM', 'RQK'), 'R')
('RQK', ('MPS', 'JKQ'), 'L')
('MPS', ('KBN', 'DPT'), 'R')
('DPT', ('CMQ', 'JBG'), 'R')
('JBG', ('KKS', 'VBH'), 'L')
('KKS', ('RGL', 'JQD'), 'R')
('JQD', ('DNN', 'NCN'), 'R')
('NCN', ('SLT', 'KJD'), 'L')
('SLT', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'L')
('JHR', ('QMF', 'JVH'), 'R')
('JVH', ('JDP', 'GGF'), 'R')
('GGF', ('PDB', 'PTX'), 'L')
('PDB', ('JPQ', 'TVJ'), 'L')
('JPQ', ('SVF', 'HDT'), 'R')
('HDT', ('LHQ', 'FVD'), 'L')
('LHQ', ('XBQ', 'NKF'), 'L')
('XBQ', ('QNX', 'JCQ'), 'R')
('JCQ', ('CRB', 'PBS'), 'L')
('CRB', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'R')
('DKN', ('CJD', 'BGR'), 'R')
('BGR', ('RLM', 'NML'), 'L')
('RLM', ('VCG', 'MBV'), 'R')
('MBV', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'L')
('BGJ', ('HXM', 'JSS'), 'R')
('JSS', ('GMJ', 'LJC'), 'L')
('GMJ', ('VSF', 'SFJ'), 'L')
('VSF', ('LPM', 'XGC'), 'L')
('LPM', ('CMM', 'PHF'), 'L')
('CMM', ('NQP', 'SBR'), 'R')
('SBR', ('SKT', 'JCC'), 'R')
('JCC', ('LQM', 'KVH'), 'L')
('LQM', ('PQG', 'VKD'), 'L')
('PQG', ('NCM', 'TCF'), 'L')
('NCM', ('JPJ', 'KNG'), 'L')
